elevator,-0.7,-2.4
elevator,-0.5,-5
door,-0.5,-8.1
door,3.9,-8.2
door,2.6,-0.3
door,2.8,-2.6
door,19.9,-9.8
door,18.7,-11.4
door,18.9,-12.5
desk,21.8,-16.7
desk,26.8,-16.6
chair,27,-15
chair,26.1,-15
chair,25.1,-15.1
